id,name,designation,company
3786,Ashish Deshpande,Independent Director,symphony
3787,Naishadh Parikh,Independent Director,symphony
3788,Kiran Mazumdar Shaw,Chairperson & Non Executive Director,syngeneinternational
3789,John Shaw,Non Executive Director,syngeneinternational
3790,Carl Decicco,Independent Director,syngeneinternational
3791,Paul Blackburn,Independent Director,syngeneinternational
3792,Vinita Bali,Independent Director,syngeneinternational
3793,Jonathan Hunt,Managing Director & CEO,syngeneinternational
3794,Catherine Rosenberg,Non Executive Director,syngeneinternational
3795,Sharmila Abhay Karve,Independent Director,syngeneinternational
3796,Vijay Kuchroo,Independent Director,syngeneinternational
3797,D Uday Kumar Reddy,"Chairman,WTD & CEO",tanlaplatforms
3798,A G Ravindranath Reddy,Non Executive Director,tanlaplatforms
3799,Amrita Gangotra,Independent Director,tanlaplatforms
3800,Sanjay Baweja,Independent Director,tanlaplatforms
3801,Deepak Satyaprakash Goyal,Whole Time Director,tanlaplatforms
3802,Sanjay Kapoor,Non Executive Director,tanlaplatforms
3803,Rohit Bhasin,Independent Director,tanlaplatforms
3804,Rahul Khanna,Independent Director,tanlaplatforms
3805,Ashok Vasudevan,Chairman & Non-Exe.Director,tastybiteeatables
3806,Sukhdev David Dusangh,Non Executive Director,tastybiteeatables
3807,Kavas Patel,Independent Director,tastybiteeatables
3808,Chengappa Ganapati,Independent Director,tastybiteeatables
3809,Abhijit Upadhye,Managing Director,tastybiteeatables
3810,Dawn Allen,Non Executive Director,tastybiteeatables
3811,Rama Kannan,Independent Director,tastybiteeatables
3812,Gaurav Gupta,Alternate Director,tastybiteeatables
3813,Ratan N Tata,Chairman Emeritus,tatachemicals
3814,N Chandrasekaran,Chairman(NonExe.&Ind.Director),tatachemicals
3815,Zarir Langrana,Executive Director,tatachemicals
3816,K B S Anand,Ind. Non-Executive Director,tatachemicals
3817,Padmini Khare Kaicker,Ind. Non-Executive Director,tatachemicals
3818,R Mukundan,Managing Director & CEO,tatachemicals
3819,S Padmanabhan,Non Exe.Non Ind.Director,tatachemicals
3820,C V Natraj,Ind. Non-Executive Director,tatachemicals
3821,Vibha Paul Rishi,Ind. Non-Executive Director,tatachemicals
3822,Rajiv Dube,Ind. Non-Executive Director,tatachemicals
3823,R Harish Bhat,Chairman,tatacoffee
3824,K Venkataramanan,Executive Director & CFO,tatacoffee
3825,V Leeladhar,Director,tatacoffee
3826,Siraj Azmat Chaudhry,Director,tatacoffee
3827,Chacko Purackal Thomas,Managing Director & CEO,tatacoffee
3828,Sunalini Menon,Director,tatacoffee
3829,P G Chengappa,Director,tatacoffee
3830,,Director,tatacoffee
3831,Renuka Ramnath,Chairperson & Independent Director,tatacommunications
3832,Srinath Narasimhan,Director,tatacommunications
3833,Amur S Lakshminarayanan,Managing Director & CEO,tatacommunications
3834,Uday B Desai,Independent Director,tatacommunications
3835,N Chandrasekaran,Chairman,tataconsumerproducts
3836,L Krishnakumar,Executive Director & Group CFO,tataconsumerproducts
3837,S Santhanakrishnan,Independent Director,tataconsumerproducts
3838,Shikha Sharma,Independent Director,tataconsumerproducts
3839,,Managing Director & CEO,tataconsumerproducts
3840,P B Balaji,Non Exe.Non Ind.Director,tataconsumerproducts
3841,Bharat Puri,Independent Director,tataconsumerproducts
3842,Siraj Chaudhry,Independent Director,tataconsumerproducts
3843,N G Subramaniam,Chairman,tataelxsi
3844,Ankur Verma,Non Exe.Non Ind.Director,tataelxsi
3845,Anurag Kumar,Ind. Non-Executive Director,tataelxsi
3846,Manoj Raghavan,Managing Director & CEO,tataelxsi
3847,Shyamala Gopinath,Ind. Non-Executive Director,tataelxsi
3848,Sudhakar Rao,Ind. Non-Executive Director,tataelxsi
3849,N N Tata,Chairman,tatainvestmentcorporation
3850,A N Dalal,Executive Director,tatainvestmentcorporation
3851,Suprakash Mukhopadhyay,Director,tatainvestmentcorporation
3852,R Dube,Director,tatainvestmentcorporation
3853,F N Subedar,Vice Chairman,tatainvestmentcorporation
3854,V Bhandarkar,Director,tatainvestmentcorporation
3855,A Sen,Director,tatainvestmentcorporation
3856,V Chandrasekaran,Director,tatainvestmentcorporation
3857,Koushik Chatterjee,Non Executive Chairman,tatametaliks
3858,Krishnava Satyaki Dutt,Independent Director,tatametaliks
3859,Rupali Basu,Independent Director,tatametaliks
3860,Sanjiv Paul,Non Exe.Non Ind.Director,tatametaliks
3861,Sandeep Kumar,Managing Director,tatametaliks
3862,Pingali Venugopal,Independent Director,tatametaliks
3863,Amit Ghosh,Independent Director,tatametaliks
3864,Samita Shah,Non Exe.Non Ind.Director,tatametaliks
3865,Ratan N Tata,Chairman Emeritus,tatamotors
3866,Guenter Butschek,Managing Director & CEO,tatamotors
3867,,Non Executive Director,tatamotors
3868,Om Prakash Bhatt,Ind. Non-Executive Director,tatamotors
3869,Vedika Bhandarkar,Ind. Non-Executive Director,tatamotors
3870,N Chandrasekaran,Chairman & Non-Exe.Director,tatamotors
3871,Mitsuhiko Yamashita,Non Exe.Non Ind.Director,tatamotors
3872,Kosaraju V Chowdary,Ind. Non-Executive Director,tatamotors
3873,Hanne Sorensen,Ind. Non-Executive Director,tatamotors
3874,Natarajan Chandrasekaran,"Chairman, Non Ind & Non Exe Director",tatapowercompany
3875,Banmali Agrawal,Non Exe.Non Ind.Director,tatapowercompany
3876,Hemant Bhargava,Non Exe. & Nominee Director,tatapowercompany
3877,Sanjay V Bhandarkar,Ind. Non-Executive Director,tatapowercompany
3878,Anjali Bansal,Ind. Non-Executive Director,tatapowercompany
3879,Praveer Sinha,Managing Director & CEO,tatapowercompany
3880,Ashok Sinha,Ind. Non-Executive Director,tatapowercompany
3881,Vibha Padalkar,Ind. Non-Executive Director,tatapowercompany
3882,K M Chandrasekhar,Ind. Non-Executive Director,tatapowercompany
3883,Saurabh Agrawal,Non Exe.Non Ind.Director,tatapowercompany
3884,Ratan N Tata,Chairman Emeritus,tatasteel
3885,T V Narendran,Managing Director & CEO,tatasteel
3886,V K Sharma,Non Executive Director,tatasteel
3887,Aman Mehta,Independent Director,tatasteel
3888,O P Bhatt,Independent Director,tatasteel
3889,Peter Blauwhoff,Independent Director,tatasteel
3890,N Chandrasekaran,Chairman,tatasteel
3891,Koushik Chatterjee,Executive Director & CFO,tatasteel
3892,Saurabh Agrawal,Non Executive Director,tatasteel
3893,Deepak Kapoor,Independent Director,tatasteel
3894,Mallika Srinivasan,Independent Director,tatasteel
3895,Ankur Verma,Non Executive Director,tatateleservicesmaharashtra
3896,N Srinath,Non Executive Director,tatateleservicesmaharashtra
3897,Narendra Damodar Jadhav,Independent Director,tatateleservicesmaharashtra
3898,Thambiah Elango,Non Executive Director,tatateleservicesmaharashtra
3899,Hiroo Mirchandani,Independent Director,tatateleservicesmaharashtra
3900,Kumar Ramanathan,Independent Director,tatateleservicesmaharashtra
3901,Onkar Singh Pasricha,Chairman & Executive Director,tcnsclothingco
3902,Naresh Patwari,Non Executive Director,tcnsclothingco
3903,Sangeeta Talwar,Independent Director,tcnsclothingco
3904,Anant Kumar Daga,Managing Director,tcnsclothingco
3905,Neeru Abrol,Independent Director,tcnsclothingco
3906,Bhaskar Pramanik,Independent Director,tcnsclothingco
3907,N Chandrasekaran,Chairman,tataconsultancyservices
3908,N G Subramaniam,Exe.Director & COO,tataconsultancyservices
3909,Keki M Mistry,Independent Director,tataconsultancyservices
3910,Pradeep Kumar Khosla,Independent Director,tataconsultancyservices
3911,Don Callahan,Independent Director,tataconsultancyservices
3912,Rajesh Gopinathan,Managing Director & CEO,tataconsultancyservices
3913,Aarthi Subramanian,Director,tataconsultancyservices
3914,O P Bhatt,Independent Director,tataconsultancyservices
3915,Hanne Birgitte Breinbjerg Sorensen,Independent Director,tataconsultancyservices
3916,Narayan Ramachandran,Non Executive Chairman,teamleaseservices
3917,Ashok Reddy,Managing Director & CEO,teamleaseservices
3918,Zarir Batliwala,Independent Director,teamleaseservices
3919,Meenakshi Nevatia,Independent Director,teamleaseservices
3920,Manish Mahendra Sabharwal,Executive Vice Chairman,teamleaseservices
3921,V Raghunathan,Independent Director,teamleaseservices
3922,Latika Pradhan,Independent Director,teamleaseservices
3923,Mekin Maheshwari,Independent Director,teamleaseservices
3924,Anand G Mahindra,Non Executive Chairman,techmahindra
3925,M Damodaran,Independent Director,techmahindra
3926,Anish Shah,Non Executive Director,techmahindra
3927,Mukti Khaire,Independent Director,techmahindra
3928,Shikha Sharma,Independent Director,techmahindra
3929,C P Gurnani,Managing Director & CEO,techmahindra
3930,M Rajyalakshmi Rao,Independent Director,techmahindra
3931,Manoj Bhat,Non Executive Director,techmahindra
3932,Haigreve Khaitan,Independent Director,techmahindra
3933,T N Manoharan,Lead Independent Director,techmahindra
3934,Meher Pudumjee,Chairperson,thermax
3935,Pheroz Pudumjee,Non Executive Director,thermax
3936,Jairam Varadaraj,Independent Director,thermax
3937,Rajani Kesari,Independent Director,thermax
3938,Valentin A H Von Massow,Independent Director,thermax
3939,Ashish Bhandari,Managing Director & CEO,thermax
3940,Harsh Mariwala,Independent Director,thermax
3941,Nawshir Mirza,Independent Director,thermax
3942,S B Ravi Pandit,Independent Director,thermax
3943,A Velumani,Chairman & M.D & CEO,thyrocaretechnologies
3944,Amruta Velumani,Non Executive Director,thyrocaretechnologies
3945,Vishwas Kulkarni,Independent Director,thyrocaretechnologies
3946,Indumati Gopinathan,Independent Woman Director,thyrocaretechnologies
3947,A Sundararaju,Executive Director & CFO,thyrocaretechnologies
3948,Gopalkrishna Shivram Hegde,Independent Director,thyrocaretechnologies
3949,Neetin S Desai,Independent Director,thyrocaretechnologies
3950,Sanjay Koul,Chairman & Managing Director,timkenindia
3951,P S Dasgupta,Independent Director,timkenindia
3952,N S Rama,Independent Director,timkenindia
3953,Avishrant Keshava,WholeTime Director & CFO,timkenindia
3954,Bushen Lal Raina,Independent Director,timkenindia
3955,Douglas Smith,Director,timkenindia
3956,N Muruganandam,Chairman,titancompany
3957,C K Venkataraman,Managing Director,titancompany
3958,V Arun Roy,Director,titancompany
3959,B Santhanam,Independent Director,titancompany
3960,Mohanasankar Sivapraksam,Independent Director,titancompany
3961,Pankaj Kumar Bansal,Director,titancompany
3962,N N Tata,Vice Chairman,titancompany
3963,Bhaskar Bhat,Director,titancompany
3964,Ashwani Puri,Independent Director,titancompany
3965,Pradyumna Vyas,Independent Director,titancompany
3966,Sindhu Gangadharan,Independent Director,titancompany
3967,Sandeep Singhal,Independent Director,titancompany
3968,Ratan N Tata,Chairman Emeritus,tatamotorsdvr
3969,Guenter Butschek,Managing Director & CEO,tatamotorsdvr
3970,,Non Executive Director,tatamotorsdvr
3971,Om Prakash Bhatt,Ind. Non-Executive Director,tatamotorsdvr
3972,Vedika Bhandarkar,Ind. Non-Executive Director,tatamotorsdvr
3973,N Chandrasekaran,Chairman & Non-Exe.Director,tatamotorsdvr
3974,Mitsuhiko Yamashita,Non Exe.Non Ind.Director,tatamotorsdvr
3975,Kosaraju V Chowdary,Ind. Non-Executive Director,tatamotorsdvr
3976,Hanne Sorensen,Ind. Non-Executive Director,tatamotorsdvr
3977,Sudhir Mehta,Chairman Emeritus,torrentpharmaceuticals
3978,Shailesh Haribhakti,Director,torrentpharmaceuticals
3979,Ameera Shah,Director,torrentpharmaceuticals
3980,Jinesh Shah,Director - Operations,torrentpharmaceuticals
3981,Samir Mehta,Executive Chairman,torrentpharmaceuticals
3982,Haigreve Khaitan,Director,torrentpharmaceuticals
3983,Nayantara Bali,Director,torrentpharmaceuticals
3984,Sudhir Mehta,Chairman Emeritus,torrentpower
3985,Jinal Mehta,Managing Director,torrentpower
3986,Dharmishta Raval,Director,torrentpower
3987,Samir Barua,Director,torrentpower
3988,Usha Sangwan,Director,torrentpower
3989,Samir Mehta,Chairman,torrentpower
3990,Bhavna Doshi,Director,torrentpower
3991,Pankaj Patel,Director,torrentpower
3992,Keki Mistry,Director,torrentpower
3993,S N Tata,Chairman Emeritus,trent
3994,P Venkatesalu,Executive Director (Finance) & CFO,trent
3995,B N Vakil,Director,trent
3996,S Singh,Director,trent
3997,S Given,Director,trent
3998,N N Tata,Chairman,trent
3999,B Bhat,Director,trent
4000,H Bhat,Director,trent
4001,J Merchant,Director,trent
4002,Rajiv Dewan,Chairman,trident
4003,Deepak Nanda,Managing Director,trident
4004,Pooja Luthra,Non Exe.Non Ind.Director,trident
4005,Rajinder Gupta,Co-Chairman,trident
4006,Dinesh Kumar Mittal,Ind. Non-Executive Director,trident
4007,Usha Sangwan,Ind. Non-Executive Woman Director,trident
4008,Dhruv M Sawhney,Chairman & Managing Director,triveniturbine
4009,Arun Prabhakar Mote,Executive Director,triveniturbine
4010,Santosh Pande,Director,triveniturbine
4011,Anil Kakodkar,Director,triveniturbine
4012,Nikhil Sawhney,Vice Chairman & Mng.Director,triveniturbine
4013,Tarun Sawhney,Director,triveniturbine
4014,Homai A Daruwalla,Director,triveniturbine
4015,Shailendar Bhandari,Director,triveniturbine
4016,T T Jagannathan,Chairman,ttkprestige
4017,Chandru Kalro,Managing Director,ttkprestige
4018,R Srinivasan,Director,ttkprestige
4019,T T Mukund,Director,ttkprestige
4020,Dhruv Sriratan Moondhra,Director,ttkprestige
4021,Vandana R Walvekar,Director,ttkprestige
4022,T T Raghunathan,Vice Chairman,ttkprestige
4023,K Shankaran,Whole Time Director & Co. Secretary,ttkprestige
4024,Dileep Kumar Krishnaswamy,Director,ttkprestige
4025,Murali Neelakantan,Director,ttkprestige
4026,Arun K Thiagarajan,Director,ttkprestige
4027,Adil Zainulbhai,Chairman & Ind.Director,tv18broadcast
4028,Jyoti Deshpande,Non Executive Director,tv18broadcast
4029,Dhruv Subodh Kaji,Independent Director,tv18broadcast
4030,Renuka Ramnath,Independent Director,tv18broadcast
4031,Rahul Joshi,Managing Director,tv18broadcast
4032,P M S Prasad,Non Executive Director,tv18broadcast
4033,Rajiv Krishan Luthra,Independent Director,tv18broadcast
4034,Venu Srinivasan,Chairman & Managing Director,tvsmotorcompany
4035,K N Radhakrishnan,Director & CEO,tvsmotorcompany
4036,Kuok Meng Xiong,Director,tvsmotorcompany
4037,Hemant Krishan Singh,Director,tvsmotorcompany
4038,H Lakshmanan,Director,tvsmotorcompany
4039,C R Dua,Director,tvsmotorcompany
4040,Prince Asirvatham,Director,tvsmotorcompany
4041,Sudarshan Venu,Joint Managing Director,tvsmotorcompany
4042,Ralf Dieter Speth,Director,tvsmotorcompany
4043,Lalita D Gupte,Director,tvsmotorcompany
4044,R Gopalan,Director,tvsmotorcompany
4045,T Kannan,Director,tvsmotorcompany
4046,Lakshmi Venu,Director,tvsmotorcompany
4047,A K Goel,Managing Director & CEO,ucobank
4048,Ajay Vyas,Executive Director,ucobank
4049,K Rajivan Nair,Director,ucobank
4050,Ishraq Ali Khan,Executive Director,ucobank
4051,Tuli Roy,Director,ucobank
4052,Sanjay Kumar,Director,ucobank
4053,Ashok Chaturvedi,Chairman & Managing Director,uflex
4054,Pradeep Narendra Poddar,Director,uflex
4055,Indu Liberhan,Director,uflex
4056,Arvind Mahajan,Director,uflex
4057,Amitava Ray,Whole Time Director,uflex
4058,Achintya Karati,Director,uflex
4059,Tara Sankar Bhattacharya,Director,uflex
4060,V Anishbabu,Nominee Director,uflex
4061,Kumar Mangalam Birla,Chairman,ultratechcement
4062,K C Jhanwar,Managing Director,ultratechcement
4063,Rajashree Birla,Non Executive Director,ultratechcement
4064,Arun Adhikari,Independent Director,ultratechcement
4065,S B Mathur,Independent Director,ultratechcement
4066,K K Maheshwari,Vice Chairman & Non Exe.Dire,ultratechcement
4067,Atul Daga,WholeTime Director & CFO,ultratechcement
4068,Sunil Duggal,Independent Director,ultratechcement
4069,Sukanya Kripalu,Independent Director,ultratechcement
4070,Alka Bharucha,Independent Director,ultratechcement
4071,G Rajkiran Rai,Managing Director & CEO,unionbankindia
4072,Dinesh Kumar Garg,Executive Director,unionbankindia
4073,Nitesh Ranjan,Executive Director,unionbankindia
4074,K Kadiresan,Shareholder Director,unionbankindia
4075,Madnesh Kumar Mishra,Government Nominee Director,unionbankindia
4076,Gopal Singh Gusain,Executive Director,unionbankindia
4077,Manas Ranjan Biswal,Executive Director,unionbankindia
4078,Uttam Kumar Sarkar,Shareholder Director,unionbankindia
4079,Jayadev Madugula,Shareholder Director,unionbankindia
4080,Arun Kumar Singh,Nominee Director,unionbankindia
4081,Rishi Pardal,Managing Director,unitedbreweries
4082,A K Ravi Nedungadi,Non Executive Director,unitedbreweries
4083,Sunil Alagh,Independent Director,unitedbreweries
4084,Madhav Bhatkuly,Independent Director,unitedbreweries
4085,Jan Cornelis van der Linden,Non Executive Director,unitedbreweries
4086,Christiaan A J Van Steenbergen,Non Executive Director,unitedbreweries
4087,Kiran Mazumdar Shaw,Independent Director,unitedbreweries
4088,Stephan Gerlich,Independent Director,unitedbreweries
4089,Rajnikant Shroff,Chairman & Managing Director,upl
4090,Jaidev Shroff,Non Executive Director & CEO,upl
4091,Pradeep Goyal,Independent Director,upl
4092,Vasant Gandhi,Independent Director,upl
4093,Arun Ashar,Director - Finance,upl
4094,Vikram Shroff,Non Executive Director,upl
4095,Reena Ramachandran,Independent Director,upl
4096,Hardeep Singh,Lead Independent Director,upl
4097,Kochouseph Chittilappilly,Chairman Emeritus,vguardindustries
4098,Mithun K Chittilappilly,Managing Director,vguardindustries
4099,Ullas K Kamath,Independent Director,vguardindustries
4100,Radha Unni,Independent Director,vguardindustries
4101,Biju Varkkey,Independent Director,vguardindustries
4102,Cherian N Punnoose,Chairman,vguardindustries
4103,V Ramachandran,Director & COO,vguardindustries
